"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042744","hydrogen peroxide catabolic process","11/574","59/11744",0.186440677966102,3.8145632788047,4.91294106843854,0.000113691226232368,0.00295597188204157,0.00295597188204157,"Os10g0109600/Os04g0688300/Os05g0499400/Os06g0547400/Os04g0434800/Os08g0113000/Os11g0112200/Os05g0162000/Os04g0688100/Os06g0625500/Os12g0111800",11
"GO:0140825","","9/574","41/11744",0.219512195121951,4.49120421517804,5.07618532434351,0.000128446560923007,0.00309071519125592,0.00309071519125592,"Os10g0109600/Os04g0688300/Os05g0499400/Os06g0547400/Os08g0113000/Os11g0112200/Os05g0162000/Os04g0688100/Os12g0111800",9
"GO:0003700","DNA-binding transcription factor activity","43/574","491/11744",0.0875763747454175,1.79180652440798,4.06297876662647,0.000142321607256714,0.00309071519125592,0.00309071519125592,"Os02g0656600/Os03g0860100/Os01g0758200/Os02g0713700/Os01g0821300/Os06g0649000/Os05g0139100/Os12g0556300/Os02g0654700/Os05g0530400/Os01g0185900/Os12g0105600/Os02g0770500/Os01g0159800/Os11g0490900/Os01g0714800/Os05g0321900/Os09g0456800/Os05g0583000/Os07g0617000/Os05g0553400/Os05g0565900/Os12g0168100/Os11g0684000/Os04g0398000/Os04g0301500/Os01g0820400/Os11g0128300/Os06g0614100/Os03g0182800/Os10g0496000/Os01g0730700/Os03g0321700/Os05g0571200/Os07g0628500/Os03g0437200/Os05g0537100/Os06g0662200/Os07g0680400/Os01g0128000/Os05g0183100/Os12g0583700/Os08g0490000",43
"GO:0031408","oxylipin biosynthetic process","6/574","18/11744",0.333333333333333,6.81997677119628,5.60146270820541,0.000148834656272104,0.00309071519125592,0.00309071519125592,"Os08g0508800/Os03g0738600/Os03g0225900/Os02g0218700/Os08g0509100/Os12g0448900",6
"GO:0004601","peroxidase activity","12/574","71/11744",0.169014084507042,3.4580163910291,4.70913993852189,0.000150573304189391,0.00309071519125592,0.00309071519125592,"Os10g0109600/Os04g0688300/Os05g0499400/Os06g0547400/Os04g0434800/Os08g0113000/Os11g0112200/Os05g0162000/Os12g0448900/Os04g0688100/Os06g0625500/Os12g0111800",12
"GO:0006633","fatty acid biosynthetic process","11/574","64/11744",0.171875,3.51655052264808,4.57607474411883,0.00024206178766955,0.00472020485955623,0.00472020485955623,"Os08g0508800/Os05g0574600/Os03g0738600/Os03g0225900/Os02g0503500/Os02g0218700/Os08g0509100/Os02g0205500/Os06g0598800/Os12g0448900/Os08g0327400",11
"GO:0098869","cellular oxidant detoxification","13/574","87/11744",0.149425287356322,3.05723096639833,4.36584357359713,0.000290141861537684,0.00538834885712842,0.00538834885712842,"Os10g0109600/Os04g0688300/Os05g0499400/Os06g0547400/Os03g0405500/Os04g0434800/Os08g0113000/Os11g0112200/Os05g0162000/Os12g0448900/Os04g0688100/Os06g0625500/Os12g0111800",13
"GO:0030247","polysaccharide binding","8/574","37/11744",0.216216216216216,4.42376871645164,4.72826013709187,0.000340019571122569,0.00602761966990009,0.00602761966990009,"Os02g0807800/Os02g0811200/Os12g0615300/Os04g0127500/Os09g0561500/Os09g0562600/Os01g0138400/Os09g0561600",8
"GO:0009505","plant-type cell wall","10/574","57/11744",0.175438596491228,3.58946145852436,4.44236508658369,0.000388246656709665,0.00658331287464214,0.00658331287464214,"Os10g0109600/Os04g0688300/Os05g0499400/Os06g0547400/Os12g0283400/Os08g0113000/Os11g0112200/Os05g0162000/Os04g0688100/Os12g0111800",10
"GO:0009699","phenylpropanoid biosynthetic process","6/574","22/11744",0.272727272727273,5.57998099461514,4.87408442932312,0.000505994888404873,0.00822241693657919,0.00822241693657919,"Os02g0626400/Os09g0399800/Os02g0627100/Os11g0178800/Os09g0400400/Os11g0180000",6
"GO:0048046","apoplast","9/574","50/11744",0.18,3.68278745644599,4.30931870633088,0.00062056209495018,0.00968076868122281,0.00968076868122281,"Os01g0249200/Os08g0189600/Os08g0190100/Os08g0189700/Os11g0178800/Os01g0284500/Os11g0180000/Os02g0534400/Os12g0258700",9
"GO:0043565","sequence-specific DNA binding","23/574","225/11744",0.102222222222222,2.09145954316686,3.74723044985596,0.000652370223741196,0.00978555335611795,0.00978555335611795,"Os01g0821300/Os06g0649000/Os12g0556300/Os05g0530400/Os01g0185900/Os02g0770500/Os11g0490900/Os01g0714800/Os05g0321900/Os09g0456800/Os05g0583000/Os05g0565900/Os11g0684000/Os01g0820400/Os06g0614100/Os01g0730700/Os03g0321700/Os05g0571200/Os05g0537100/Os07g0680400/Os12g0123800/Os01g0128000/Os05g0183100",23
"GO:0030246","carbohydrate binding","12/574","86/11744",0.13953488372093,2.85487399724496,3.91354654396578,0.000923465046182018,0.0133389395559625,0.0133389395559625,"Os01g0224000/Os07g0194800/Os01g0587400/Os06g0229200/Os06g0328400/Os02g0640500/Os10g0441900/Os01g0348900/Os01g0223900/Os04g0109400/Os03g0772600/Os02g0712700",12
"GO:0004867","serine-type endopeptidase inhibitor activity","5/574","17/11744",0.294117647058824,6.01762656282025,4.69297481951934,0.00103834962447571,0.0144627269123403,0.0144627269123403,"Os01g0124200/Os03g0734300/Os01g0124401/Os12g0437800/Os01g0124100",5
"GO:0005509","calcium ion binding","19/574","182/11744",0.104395604395604,2.13592679097906,3.50097044194145,0.00146105685313549,0.0196486956111325,0.0196486956111325,"Os02g0807800/Os02g0811200/Os12g0615300/Os04g0127500/Os09g0561500/Os12g0603800/Os09g0483500/Os03g0331700/Os07g0631700/Os09g0562600/Os09g0561600/Os01g0955100/Os03g0812400/Os11g0141400/Os11g0600500/Os06g0683400/Os07g0680000/Os08g0558100/Os04g0598900",19
"GO:0006631","fatty acid metabolic process","11/574","79/11744",0.139240506329114,2.8488510563225,3.73759284671379,0.00151784176550723,0.0197319429515939,0.0197319429515939,"Os08g0508800/Os03g0738600/Os03g0225900/Os02g0503500/Os02g0218700/Os01g0681200/Os10g0457600/Os08g0509100/Os12g0448900/Os06g0354500/Os08g0327400",11
"GO:0015079","potassium ion transmembrane transporter activity","5/574","20/11744",0.25,5.11498257839721,4.17507213964341,0.00230340189261547,0.0289782818748398,0.0289782818748398,"Os08g0206400/Os09g0448200/Os04g0401700/Os06g0270200/Os03g0574900",5
"GO:0000976","transcription cis-regulatory region binding","18/574","178/11744",0.101123595505618,2.06898171710449,3.25767364786543,0.00273791038757314,0.0333682828485476,0.0333682828485476,"Os05g0139100/Os01g0575200/Os11g0490900/Os01g0714800/Os05g0321900/Os05g0583000/Os05g0565900/Os12g0168100/Os04g0301500/Os11g0128300/Os01g0730700/Os03g0321700/Os05g0571200/Os03g0437200/Os06g0570900/Os05g0537100/Os07g0680400/Os12g0583700",18
"GO:0000162","L-tryptophan biosynthetic process","4/574","13/11744",0.307692307692308,6.29536317341195,4.33030812279225,0.00283503706396128,0.0335049834831788,0.0335049834831788,"Os03g0126000/Os07g0182100/Os03g0718000/Os09g0255400",4
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","15/574","139/11744",0.107913669064748,2.20790614894844,3.24740840128651,0.00324149131185674,0.0371818121065921,0.0371818121065921,"Os01g0561600/Os10g0439924/Os03g0225900/Os05g0494000/Os02g0467600/Os07g0218700/Os12g0443000/Os03g0803500/Os02g0218700/Os05g0320700/Os01g0728300/Os08g0507100/Os06g0294600/Os12g0150200/Os03g0570100",15
