# Program:featureCounts v2.0.8; Command:"featureCounts" "-T" "8" "-p" "-B" "-C" "-t" "exon" "-g" "gene_id" "-a" "/mnt/d/Nancy/Project/annotation/genes.gtf" "-o" "/mnt/d/Nancy/Project/05_featurecounts/gene_counts.txt" "SRR9113519.sorted.bam" "SRR9113520.sorted.bam" "SRR9113521.sorted.bam" "SRR9113522.sorted.bam" "SRR9113523.sorted.bam" "SRR9113524.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR9113519.sorted.bam	SRR9113520.sorted.bam	SRR9113521.sorted.bam	SRR9113522.sorted.bam	SRR9113523.sorted.bam	SRR9113524.sorted.bam
ENSRNA049471632	1	41010580	41010655	-	76	0	0	0	0	0	0
ENSRNA049471650	1	41010743	41010838	-	96	0	0	0	0	0	0
ENSRNA049471695	1	33521888	33521976	+	89	0	0	0	0	0	0
ENSRNA049471700	1	33528739	33528813	-	75	0	0	0	0	0	0
ENSRNA049471707	1	33511612	33511730	+	119	0	0	0	0	0	0
ENSRNA049471715	1	33580184	33580260	-	77	0	0	0	0	0	0
ENSRNA049471723	1	33532078	33532191	+	114	0	0	0	0	0	0
ENSRNA049471743	1	38730446	38730510	-	65	0	0	0	0	0	0
ENSRNA049471755	1	36366185	36366328	-	144	0	0	0	0	0	0
ENSRNA049471772	1	33544892	33545423	+	532	0	1	0	0	0	0
ENSRNA049471778	1	33506260	33506791	+	532	2	2	0	0	0	1
ENSRNA049471791	1	34203179	34203302	-	124	0	0	0	0	0	0
ENSRNA049471802	1	31645060	31645140	-	81	0	0	0	0	0	0
ENSRNA049471835	1	37415298	37415459	-	162	0	0	0	0	0	0
ENSRNA049471844	1	36367763	36367921	-	159	0	0	0	0	0	0
ENSRNA049471864	1	33569114	33569300	-	187	0	0	0	0	0	0
ENSRNA049471882	1	33586499	33587378	-	880	6	7	4	16	10	5
ENSRNA049471191	1	3439717	3439781	-	65	0	0	0	0	0	0
ENSRNA049471225	1	9659828	9659922	-	95	0	0	0	0	0	0
ENSRNA049471239	1	8729130	8729248	+	119	0	0	0	0	0	0
ENSRNA049471251	1	9655563	9655656	-	94	5	6	13	4	10	6
ENSRNA049471263	1	4981119	4981241	+	123	0	0	0	0	0	0
ENSRNA049471273	1	9656133	9656232	-	100	0	4	1	2	1	1
ENSRNA049471283	1	9659592	9659685	-	94	0	0	0	0	0	0
ENSRNA049471342	1	9660381	9660475	-	95	8	7	8	1	11	5
ENSRNA049471325	1	9655929	9656016	-	88	0	16	11	2	1	4
ENSRNA049471314	1	6677568	6677765	-	198	0	0	0	0	0	0
ENSRNA049471305	1	6563754	6563944	-	191	0	0	0	0	0	0
ENSRNA049471293	1	9760706	9760898	-	193	0	0	0	0	0	0
ENSRNA049471366	1	6693112	6693301	+	190	2	3	4	44	0	17
ENSRNA049471356	1	6556046	6556244	-	199	1	1	2	0	1	0
ENSRNA049471381	1	1215030	1215219	+	190	32	24	28	36	29	35
ENSRNA049472690	1	13896826	13896892	+	67	3	5	2	1	1	0
ENSRNA049472701	1	17675518	17675582	-	65	0	0	0	0	0	0
ENSRNA049472720	1	17953484	17953548	+	65	0	0	0	0	0	0
ENSRNA049472737	1	12922242	12922330	-	89	0	0	0	0	0	0
ENSRNA049472745	1	15717802	15717908	+	107	0	0	0	0	0	0
ENSRNA049472760	1	13896653	13896740	+	88	8	12	2	6	4	2
ENSRNA049472768	1	12923086	12923182	-	97	0	0	0	0	0	0
ENSRNA049472772	1	12922867	12922964	-	98	0	0	0	0	0	0
ENSRNA049472779	1	12696500	12696689	-	190	0	0	0	0	0	0
ENSRNA049472788	1	13160777	13160900	+	124	0	1	0	0	7	4
ENSRNA049472799	1	17681923	17682196	+	274	0	0	0	0	0	0
ENSRNA049472807	1	14130484	14130664	+	181	0	0	0	0	0	0
Os01g0873800	1;1;1;1;1;1;1;1;1	37890722;37891707;37894138;37894284;37894663;37894989;37895622;37896365;37897218	37891226;37894046;37894212;37894475;37894914;37895544;37895829;37896477;37897447	-;-;-;-;-;-;-;-;-	4471	673	871	821	1040	623	986
Os01g0734100	1;1;1	30608366;30609561;30609970	30608501;30609789;30610446	+;+;+	842	251	220	273	255	259	246
Os01g0563000	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	21415022;21415065;21415066;21415236;21415237;21415237;21415237;21424262;21424262;21424262;21424262;21424515;21424515;21424515;21424515;21425450;21425450;21425450;21425626;21425626;21425626;21426007;21426007;21426007;21431623;21431623;21431623;21431638;21431817;21431817;21431817;21431817;21433005;21433005;21433005;21433052;21438195;21438195;21438195;21438195;21440964;21440964;21440964;21440964;21441102	21415161;21415161;21415161;21415515;21415515;21415515;21415515;21424348;21424348;21424348;21424348;21424790;21424976;21424790;21424790;21425524;21425524;21425524;21425706;21425706;21425706;21426198;21426198;21426198;21431712;21431712;21431712;21431712;21432020;21431995;21431995;21431923;21433322;21433322;21433322;21433322;21438305;21438305;21438305;21438305;21441409;21441440;21441440;21441439;21441440	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2517	4300	3617	3488	3382	5474	3712
Os01g0973300	1;1;1;1;1;1;1;1;1	42971420;42971549;42972640;42973156;42973361;42974349;42974641;42975752;42976402	42971459;42972118;42972813;42973282;42973470;42974549;42975608;42976000;42976876	+;+;+;+;+;+;+;+;+	2914	1128	1273	1561	1364	1445	1332
Os01g0889800	1;1;1;1	38684636;38685415;38685756;38687370	38684864;38685666;38685858;38688097	-;-;-;-	1312	1674	2445	1790	2699	1567	2615
Os01g0878400	1;1;1;1;1;1	38118010;38118828;38119235;38119706;38119877;38120632	38118726;38119052;38119595;38119799;38120110;38120760	-;-;-;-;-;-	1760	9	17	27	47	34	52
Os01g0544450	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	20192025;20192181;20192993;20193747;20193924;20194159;20194341;20194541;20194728;20195034;20195218;20195479;20195718;20195958;20196132;20196304;20196528;20196666	20192101;20192909;20193121;20193828;20194056;20194230;20194463;20194654;20194940;20195132;20195378;20195575;20195879;20196038;20196210;20196440;20196578;20196937	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2811	36	14	20	6	14	8
Os01g0810300	1;1;1	34421011;34422779;34423275	34421169;34423148;34423534	+;+;+	789	2033	2416	2341	3031	2271	2817
Os01g0855700	1	36943000	36945124	+	2125	2	0	4	2	2	2
Os01g0932500	1;1;1;1;1;1;1;1	40902494;40903963;40904880;40905097;40905482;40906296;40906805;40907135	40903395;40904332;40904932;40905357;40905532;40906541;40907027;40907438	-;-;-;-;-;-;-;-	2410	0	0	0	0	0	0
Os01g0923000	1	40371950	40372684	+	735	1301	1012	1518	1593	1579	1405
Os01g0606200	1;1	23890258;23890605	23890481;23890668	-;-	288	0	4	6	0	0	0
Os01g0647700	1;1;1;1;1;1;1	26106836;26107975;26108425;26109630;26109886;26110394;26110729	26107436;26108282;26109141;26109758;26110089;26110594;26111089	+;+;+;+;+;+;+	2521	658	612	694	440	681	667
Os01g0816400	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	34705486;34706187;34706514;34706864;34707063;34707261;34707511;34707681;34707910;34708143;34708289;34708709;34708942;34709193;34709599;34709798;34710157;34710358;34710558;34711222;34711393;34711558;34711776;34711945;34712126;34712471;34712697;34712869;34713100;34713265;34713448;34713697;34714468;34714635;34715019;34715884;34716097;34716672;34716808;34716993;34717145;34717529;34718156;34718157;34718448;34718448;34718664;34718664;34718829;34718829;34720024;34720024;34720185;34720185;34720438;34720438;34721667;34721667;34721881;34721881;34722140;34722140	34706101;34706430;34706585;34706959;34707179;34707417;34707608;34707839;34708068;34708220;34708408;34708826;34709087;34709269;34709710;34709980;34710258;34710459;34710653;34711299;34711485;34711679;34711857;34712019;34712386;34712595;34712772;34713018;34713179;34713370;34713555;34713797;34714555;34714747;34715124;34715988;34716168;34716712;34716916;34717058;34717281;34717631;34718276;34718276;34718561;34718561;34718749;34718749;34718911;34718911;34720088;34720088;34720362;34720362;34720517;34720517;34721790;34721790;34721986;34721986;34722513;34722561	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6628	3784	3717	4842	3542	3892	3719
Os01g0848475	1;1;1;1	36445402;36446295;36447485;36448682	36446191;36446359;36447856;36449427	+;+;+;+	1973	0	0	0	0	0	0
Os01g0688200	1;1;1;1;1;1;1;1	28384023;28384500;28384858;28385439;28385662;28385906;28386367;28386880	28384365;28384598;28384995;28385569;28385808;28386035;28386396;28387157	-;-;-;-;-;-;-;-	1296	114	72	137	105	144	115
Os01g0596600	1;1;1;1	23402666;23403454;23403709;23405725	23403328;23403546;23403990;23405874	+;+;+;+	1188	0	0	0	0	0	0
Os01g0646700	1;1;1;1;1;1;1;1;1;1	26060892;26061366;26061385;26061595;26061748;26061748;26061748;26062014;26062014;26062014	26061149;26061664;26061664;26061664;26061903;26061900;26061903;26064410;26062097;26063202	-;-;-;-;-;-;-;-;-;-	3110	1580	1564	1781	1855	1825	1850
Os01g0633900	1;1;1;1;1	25409162;25410908;25411068;25411921;25413436	25409614;25410969;25411118;25412119;25413922	-;-;-;-;-	1252	31	68	48	101	56	61
Os01g0852100	1;1;1;1;1	36683837;36684402;36685176;36685714;36685988	36684315;36684700;36685265;36685882;36687072	-;-;-;-;-	2122	323	208	326	278	305	283
Os01g0127200	1;1;1;1	1497241;1497686;1499928;1500535	1497596;1499131;1500341;1500606	-;-;-;-	2288	0	0	0	0	0	0
Os01g0604000	1	23782638	23784025	-	1388	17	10	11	13	19	9
Os01g0510500	1	17945068	17947079	+	2012	1009	1231	1257	1151	1138	1131
Os01g0116900	1;1;1	924451;939350;955567	924840;939434;956639	+;+;+	1548	1302	2053	1814	2561	1819	2328
Os01g0934900	1;1;1	41007465;41007825;41008075	41007752;41007962;41008440	-;-;-	792	14	13	14	16	22	10
Os01g0823951	1	35192320	35192671	+	352	11	3	2	6	3	4
Os01g0661000	1;1;1;1;1;1	26975616;26975672;26976738;26976738;26977617;26977617	26976642;26976642;26976870;26976870;26977876;26978062	+;+;+;+;+;+	1606	136	152	131	121	121	106
Os01g0382200	1;1	15948833;15951926	15949195;15953007	+;+	1445	0	0	0	0	0	0
Os01g0362533	1	14770806	14771426	+	621	50	100	50	78	92	58
Os01g0860050	1	37198594	37198643	-	50	0	0	0	0	0	0
Os01g0229600	1;1	7176001;7176344	7176236;7177050	+;+	943	39	88	81	367	37	124
Os01g0699950	1	28964966	28968109	-	3144	0	0	0	0	0	0
Os01g0750666	1;1;1;1;1;1	31474278;31474746;31475015;31475233;31475448;31475800	31474622;31474922;31475117;31475366;31475514;31476174	+;+;+;+;+;+	1201	0	0	0	0	0	0
Os01g0833700	1;1;1;1;1;1;1;1;1;1;1;1	35700437;35701715;35701911;35702820;35703044;35703742;35704820;35705186;35705762;35706330;35706550;35707528	35700779;35701811;35701973;35702973;35703230;35704055;35704961;35705428;35705985;35706369;35706609;35707701	-;-;-;-;-;-;-;-;-;-;-;-	2041	136	142	181	169	193	163
Os01g0329800	1;1;1;1;1;1;1;1	12725141;12727056;12727278;12727433;12728692;12729302;12729735;12729794	12725397;12727178;12727351;12727930;12729216;12729514;12730824;12731526	+;+;+;+;+;+;+;+	3482	451	497	664	359	514	302
Os01g0205100	1;1;1;1;1;1;1;1;1;1;1	5760486;5761497;5761694;5761842;5762062;5762600;5762780;5762969;5763312;5763710;5764031	5760639;5761593;5761755;5761898;5762118;5762656;5762822;5763046;5763633;5763857;5764602	+;+;+;+;+;+;+;+;+;+;+	1647	792	774	759	689	955	596
Os01g0275900	1;1;1;1	9644443;9644929;9646183;9647621	9644829;9645513;9647018;9647828	-;-;-;-	2016	996	1072	1118	1216	1780	1111
Os01g0127450	1;1	1511964;1512262	1512151;1512646	+;+	573	66	98	67	92	56	73
Os01g0570700	1	21896614	21897709	+	1096	3394	3144	3318	2719	4024	3174
Os01g0226600	1;1;1;1;1;1;1	6987901;6989015;6991138;6991138;6992092;6992970;6992970	6988028;6989205;6992862;6991968;6992871;6993608;6994006	+;+;+;+;+;+;+	3090	74	117	115	55	125	116
Os01g0881966	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	38282568;38282568;38283267;38283267;38283528;38283528;38283706;38283706;38283955;38283955;38284636;38284636;38285168;38285168;38285468;38285468;38286461;38286494	38283175;38283175;38283411;38283411;38283601;38283601;38283866;38283866;38284362;38284362;38284997;38284997;38285265;38285265;38285604;38285604;38287237;38287235	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2770	408	516	498	453	505	584
Os01g0564600	1	21555564	21556757	-	1194	0	0	0	0	0	0
Os01g0164800	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	3343531;3344948;3345171;3345339;3345743;3346039;3346176;3346587;3346846;3347535;3347676;3347878;3348050;3348179;3348331;3348650;3349141;3349358;3349559;3349680;3351426;3351683;3351918;3352167;3352450;3352662;3352847;3353080;3353302;3353600;3353841;3354333;3354650;3354806	3343970;3345063;3345259;3345506;3345956;3346101;3346318;3346769;3347029;3347606;3347787;3347953;3348100;3348260;3348567;3348772;3349280;3349482;3349599;3350625;3351551;3351811;3352049;3352301;3352575;3352757;3352972;3353205;3353436;3353704;3353906;3354503;3354706;3355066	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5396	21	33	46	13	42	14
Os01g0837600	1;1;1	35912084;35912472;35912923	35912338;35912577;35913241	+;+;+	680	6453	9773	7713	7593	5917	12979
Os01g0221700	1;1;1;1;1;1;1;1;1;1	6663533;6663727;6664118;6664723;6664940;6665082;6665287;6665942;6666154;6666621	6663652;6663996;6664171;6664784;6665008;6665133;6665361;6666071;6666224;6666725	+;+;+;+;+;+;+;+;+;+	1008	1310	1623	1332	1874	1090	1894
Os01g0290700	1;1	10515442;10516176	10516076;10516270	-;-	730	99	55	125	49	99	75
Os01g0200400	1;1;1;1;1;1;1;1;1;1;1	5435443;5435859;5436898;5437144;5437645;5438160;5439275;5440513;5440783;5442240;5442417	5435774;5435916;5436998;5437229;5437715;5438233;5439316;5440582;5440839;5442284;5442646	-;-;-;-;-;-;-;-;-;-;-	1166	166	126	224	221	237	148
Os01g0976600	1;1;1;1;1;1;1;1	43159520;43160198;43161075;43161332;43161572;43162199;43162337;43162551	43159904;43160306;43161146;43161476;43161727;43162260;43162463;43162849	-;-;-;-;-;-;-;-	1355	665	778	883	585	881	536
Os01g0668100	1	27340911	27341950	-	1040	0	0	0	0	0	0
Os01g0676900	1;1;1;1	27833978;27835162;27835362;27835578	27834259;27835220;27835443;27835938	+;+;+;+	784	0	0	0	0	0	0
Os01g0172900	1;1;1;1;1;1	3737752;3738695;3738879;3739129;3740245;3740458	3737944;3738765;3739010;3739278;3740358;3740685	+;+;+;+;+;+	888	7	10	6	4	4	3
Os01g0159600	1;1	3124369;3125052	3124939;3125331	-;-	851	0	0	0	0	0	0
Os01g0217400	1;1;1;1;1;1	6402871;6403542;6403834;6404323;6404835;6405286	6403133;6403708;6403966;6404577;6405164;6405410	-;-;-;-;-;-	1273	0	0	0	4	0	0
Os01g0764300	1;1;1;1;1;1;1	32167881;32168474;32168759;32169331;32169574;32170486;32170698	32168282;32168585;32168918;32169479;32169725;32170600;32171339	+;+;+;+;+;+;+	1732	308	254	314	290	363	224
Os01g0514700	1;1	18205177;18207125	18206702;18208214	+;+	2616	0	3	4	0	0	0
Os01g0228300	1;1;1	7085873;7087777;7088941	7086539;7087868;7089172	-;-;-	991	1152	1193	1339	837	1595	1089
Os01g0727200	1;1	30318816;30319292	30319269;30319626	+;+	789	40	54	67	28	73	26
Os01g0818400	1;1;1;1;1;1;1;1;1;1	34862487;34863111;34863202;34864593;34864593;34864593;34865195;34865195;34865195;34865707	34863439;34863439;34863439;34865111;34865111;34865111;34865404;34865308;34865653;34865889	+;+;+;+;+;+;+;+;+;+	2114	272	302	346	287	349	349
Os01g0329075	1;1	12677372;12682664	12678251;12683262	+;+	1479	0	0	0	0	0	0
Os01g0351300	1;1	14059603;14063653	14062094;14064199	+;+	3039	1984	2043	2129	2168	2223	2273
Os01g0820750	1	34996867	34999374	-	2508	5	6	6	0	4	0
Os01g0337160	1	13198486	13199578	-	1093	94	179	58	220	113	261
Os01g0620400	1	24714259	24714801	+	543	7	7	10	16	2	22
Os01g0299300	1;1	10969328;10972405	10970215;10973346	-;-	1830	78	69	36	71	85	62
Os01g0967700	1	42679241	42680544	+	1304	5	8	6	6	6	3
Os01g0772900	1;1;1;1;1;1;1;1;1;1	32656756;32656768;32657206;32657206;32657614;32657614;32657929;32657929;32658075;32658075	32657092;32657092;32657530;32657530;32657834;32657834;32657985;32657985;32658390;32658481	-;-;-;-;-;-;-;-;-;-	1347	0	4	3	2	2	0
Os01g0175733	1;1;1;1;1;1;1;1;1;1;1;1	3894637;3894887;3895314;3895916;3896126;3896616;3896903;3897676;3897933;3898142;3898430;3898625	3894769;3895148;3895623;3896038;3896243;3896778;3897070;3897859;3898062;3898314;3898523;3898734	+;+;+;+;+;+;+;+;+;+;+;+	1968	0	0	0	0	0	0
Os01g0700100	1;1;1;1;1;1	28975565;28975791;28975908;28976300;28976574;28976818	28975661;28975827;28976127;28976458;28976693;28977344	+;+;+;+;+;+	1160	351	547	573	237	421	354
Os01g0354175	1	14224319	14224915	+	597	4	0	0	0	0	2
Os01g0566100	1;1;1;1;1;1	21637031;21638516;21639932;21640239;21642627;21642627	21638384;21638567;21641179;21641179;21643111;21643059	-;-;-;-;-;-	3139	4865	4084	5060	6165	4390	6909
Os01g0742766	1;1;1	31015876;31016188;31017425	31016093;31016254;31017514	-;-;-	375	13	12	24	16	33	13
Os01g0512400	1	18062252	18062861	-	610	6	2	2	0	0	8
Os01g0854800	1	36840077	36842114	+	2038	0	0	0	0	0	0
Os01g0766966	1	32321709	32322680	+	972	47	59	50	107	54	118
Os01g0938200	1;1;1;1;1;1;1;1;1	41193350;41194869;41196237;41196370;41196608;41196949;41197542;41198248;41198495	41193768;41194951;41196288;41196495;41196690;41197131;41197878;41198391;41198903	+;+;+;+;+;+;+;+;+	1836	212	208	226	292	171	262
Os01g0327500	1	12582768	12583460	-	693	0	0	0	0	0	0
Os01g0868900	1;1	37651834;37652582	37654381;37654285	+;+	2548	10	11	12	0	22	10
Os01g0545550	1;1;1;1;1;1	20256217;20256754;20257054;20257383;20257811;20259931	20256527;20256956;20257298;20257592;20258133;20260695	+;+;+;+;+;+	2057	0	0	0	0	0	0
Os01g0911200	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	39696056;39696469;39696755;39696962;39697132;39697488;39698149;39698445;39698660;39698944;39699464;39699662;39699825;39700361;39700555;39702073;39702222;39702556;39702762	39696314;39696664;39696844;39697018;39697201;39697552;39698203;39698572;39698773;39699015;39699565;39699751;39699973;39700472;39700641;39702153;39702446;39702678;39703152	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2466	3759	3771	4925	3393	5109	3613
Os01g0898800	1;1;1	39079600;39081725;39081867	39080001;39081803;39082185	+;+;+	800	612	705	689	1399	793	1212
Os01g0240600	1	7771395	7774272	+	2878	0	0	0	0	0	0
Os01g0898600	1;1	39070132;39072439	39070443;39072668	-;-	542	14	22	10	12	26	28
Os01g0926400	1;1;1;1;1	40615704;40615724;40615730;40619165;40619165	40616946;40617115;40617115;40619393;40619630	-;-;-;-;-	1878	28	17	38	9	23	13
Os01g0929000	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	40780442;40781125;40781371;40781625;40781820;40782148;40782346;40782582;40782781;40782968;40783117;40783477;40783695;40783847;40784140;40784377	40780721;40781219;40781484;40781729;40781891;40782260;40782480;40782650;40782868;40783039;40783217;40783594;40783754;40783957;40784261;40784609	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1888	86	82	101	96	113	75
Os01g0840700	1;1	36083073;36084104	36083295;36084198	-;-	318	350	382	410	351	399	372
Os01g0839500	1	36014027	36014684	-	658	1373	2028	1657	2270	1665	2484
Os01g0373800	1	15403221	15403783	-	563	124	58	182	50	203	34
Os01g0618601	1;1;1	24604342;24604607;24604916	24604529;24604778;24605096	-;-;-	541	0	0	0	0	0	0
Os01g0207700	1	5848166	5848945	+	780	0	0	0	0	0	0
Os01g0176000	1;1	3917918;3919312	3918603;3920432	+;+	1807	51	57	65	61	82	27
Os01g0834200	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	35732665;35732727;35732750;35734176;35734176;35734176;35735311;35735311;35735311;35735545;35735545;35735545;35735988;35735988;35735988;35736181;35736181;35736181;35736580;35736580;35736580;35736906;35736906;35736906;35737130;35737130;35737130;35737336;35737336;35737336;35737996;35737996;35737996;35739228;35739228;35739228;35739247;35740480;35740480;35740480;35740480;35740780;35740780;35740780;35740780;35741046;35741046;35741046;35741046;35742411;35742411;35742411;35742411;35742693;35742693;35742693;35742693;35742944;35742944;35742944;35742944	35732996;35732996;35732996;35734220;35734220;35734220;35735433;35735433;35735433;35735652;35735652;35735652;35736101;35736101;35736101;35736354;35736368;35736354;35736717;35736717;35736717;35737013;35737013;35737013;35737237;35737237;35737237;35737484;35737484;35737484;35738149;35738149;35738149;35739388;35739388;35739388;35739388;35740686;35740686;35740686;35740686;35740963;35740963;35740963;35740963;35741129;35741129;35741129;35741129;35742604;35742604;35742604;35742604;35742752;35742752;35742752;35742752;35743682;35743623;35743623;35743623	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3196	2785	2686	3462	2456	3381	2242
Os01g0868200	1;1;1;1;1;1;1;1;1;1;1	37615956;37616705;37617019;37619324;37619324;37620186;37620186;37620572;37620572;37621799;37621799	37616592;37617663;37617663;37619557;37619557;37620479;37620479;37620757;37620757;37622052;37622057	-;-;-;-;-;-;-;-;-;-;-	2569	274	280	297	292	365	269
Os01g0137550	1;1;1	2015899;2018421;2018775	2016431;2018539;2018829	-;-;-	707	0	0	0	0	1	0
Os01g0182100	1;1	4306924;4309610	4308282;4309933	+;+	1683	208	340	200	253	306	450
Os01g0904200	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	39357530;39357593;39357902;39357902;39358250;39358250;39359029;39359029;39359225;39359768;39359791;39360707;39360707;39361387;39361387;39361609;39361825;39361904;39362281;39362281;39362535;39362535	39357773;39357773;39358046;39358046;39358403;39358403;39359146;39359334;39359334;39359901;39359901;39360834;39360834;39361515;39361495;39361656;39362019;39362019;39362409;39362409;39362871;39362775	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1949	1510	1672	1716	1698	1513	1649
Os01g0825500	1;1;1	35303468;35304358;35304553	35304214;35305739;35305739	-;-;-	2129	100	159	111	166	82	122
Os01g0833500	1;1;1;1;1;1;1;1;1	35688062;35688540;35688795;35688975;35689741;35690084;35690265;35690461;35690687	35688453;35688645;35688890;35689102;35690001;35690169;35690357;35690556;35691424	-;-;-;-;-;-;-;-;-	1996	36	33	43	12	31	17
Os01g0190400	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	4820155;4820178;4820759;4820759;4821018;4821018;4821244;4821244;4821484;4821484;4821735;4821735;4822072;4822072;4822374;4822374;4822670;4822670	4820685;4820685;4820840;4820840;4821148;4821148;4821342;4821342;4821639;4821639;4821809;4821809;4822254;4822254;4822524;4822524;4823129;4822917	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1868	8	52	46	22	37	32
